ID,Region,Country,City,Building Tenure,Primary Use,Area,Area Type,Lease Expiry Date,Break Option Date,Currency,Rental Cost,Lease Until Expiry,Per Square Meter
62,N. Europe,Sweden,Karlstad,Leased,Meeting point,0,sqm,,,USD,0,,N/A
63,SAMEA,Senegal,Dakar,Leased,Office,0,sqm,2021-02-06,,USD,1258,-775.479,N/A
64,SAMEA,UAE,Dubai,Leased,Residential,0,sqm,2022-11-05,,USD,23281,26278.827,N/A
65,SAMEA,UAE,Dubai,Leased,Residential,0,sqm,2022-11-05,,USD,23281,26278.827,N/A
66,SAMEA,UAE,Dubai,Leased,Residential,0,sqm,2022-11-09,,USD,19748,22507.310,N/A
67,SAMEA,Morocco,Casablanca,Leased,Office,0,sqm,2021-03-31,,USD,750,-353.425,N/A
68,North Asia,China,Shanghai,Leased,Residential,0,sqm,2022-08-20,,USD,39697,36434.233,N/A
69,North Asia,China,Shanghai,Leased,Residential,0,sqm,2022-06-30,,USD,36324,28263.058,N/A
70,North Asia,China,Shanghai,Leased,Residential,0,sqm,2022-10-22,,USD,48519,52905.649,N/A
71,SAMEA,UAE,Dubai,Leased,Residential,0,sqm,2022-11-05,,USD,20806,23485.129,N/A
72,North Asia,China,Shanghai,Leased,Residential,0,sqm,2022-06-30,,USD,29838,23216.416,N/A
73,North Asia,China,Shanghai,Leased,Residential,0,sqm,2022-12-20,,USD,22054,27612.816,N/A
74,SAMEA,UAE,Dubai,Leased,Residential,0,sqm,2022-07-04,,USD,37417,29523.551,N/A
75,SAMEA,Kazakhstan,Atyrau,Leased,Residential,0,sqm,2022-07-31,,USD,21344,18420.164,N/A
76,North Asia,China,Jiangyin,Leased,Residential,0,sqm,2022-06-30,,USD,29838,23216.416,N/A
77,SAMEA,UAE,Dubai,Leased,Residential,0,sqm,2022-07-31,,USD,43653,37673.137,N/A
78,SAMEA,UAE,Dubai,Leased,Residential,0,sqm,2022-08-31,,USD,41574,39409.874,N/A
79,SAMEA,Singapore,Singapore,Leased,Residential,0,sqm,2022-09-14,,USD,47059,46414.356,N/A
80,North Asia,China,Shanghai,Leased,Residential,0,sqm,2022-10-31,,USD,25920,28902.575,N/A
81,UK & I,Scotland,Aberdeen,Leased,Office,10033.524,sqm,2031-12-31,,USD,,,N/A
82,SAMEA,Azerbaijan,Baku,Leased,Office,0,sqm,2022-07-01,,USD,,,N/A
83,SAMEA,UAE,Abu Dhabi,Leased,Residential,0,sqm,2021-03-31,,USD,44193,-20825.195,N/A
84,Americas,Trinidad and Tobago,Port of Spain,Leased,Office,1.672254,sqm,2021-05-31,,USD,18229,-5543.614,10900.85597
85,North Asia,Japan,Tokyo,Leased,Office,3.530314,sqm,2022-05-31,,USD,6930,4822.521,1962.998192
86,N. Europe,Netherlands,Rotterdam,Leased,Office,369,sqm,2021-12-31,,USD,673673,190104.984,1825.672087
87,SAMEA,Malaysia,Kuala Lumpur,Leased,Residential,371.612,sqm,2022-08-31,,USD,677754,642473.655,1823.82162
88,SAMEA,UAE,Abu Dhabi,Leased,Office,14.028353,sqm,2022-09-30,,USD,12472,12847.868,889.0566127
89,SAMEA,Libya,Tripoli,Leased,Office,49.981814,sqm,2021-12-31,,USD,35941,10142.255,719.0815443
90,North Asia,SAR of PRC,Hong Kong,Leased,Office,947.053182,sqm,2024-12-31,,USD,613685,2015913.192,647.9942327
91,SAMEA,Australia,Perth,Leased,Office,153.940271,sqm,2022-11-30,,USD,81578,97670.099,529.9328075
92,North Asia,China,Jiangyin,Leased,Residential,10.35682644,sqm,2022-07-28,,USD,4873.1,4165.499,470.5205816
93,SAMEA,UAE,Abu Dhabi,Leased,Office,46.4515,sqm,2022-09-30,,USD,19770,20365.808,425.6052011
94,SAMEA,Qatar,Doha,Leased,Office,164.995728,sqm,2021-05-31,,USD,66209,-20134.792,401.2770561
95,SAMEA,Kuwait,Safat,Leased,Office,40.041193,sqm,2021-01-31,,USD,15155,-9591.247,378.4852265
96,North Asia,China,Beijing,Leased,Office,31.56007813,sqm,2024-12-31,,USD,10725.27,35231.777,339.8366112
97,SAMEA,UAE,Dubai,Leased,Office,1021.933,sqm,2021-12-15,,USD,342985,81752.589,335.623764
98,UK & I,England,Southampton,Leased,Office,9940.621,sqm,2064-09-23,2034-09-23,USD,3250000,139883561.644,326.941345
99,SAMEA,India,Mumbai,Leased,Residential,128.670655,sqm,2019-04-14,,USD,42061.86,-102446.558,326.8955148
100,UK & I,Scotland,Aberdeen,Leased,Office,1249.452447,sqm,2022-11-30,,USD,402725,482166.644,322.3211903
101,North Asia,China,Shanghai,Leased,Office,912.5991754,sqm,2022-02-14,,USD,290827.55,117924.596,318.6804874
102,North Asia,China,Shanghai,Leased,Office,1976.66926,sqm,2023-02-14,,USD,629925.6,885347.487,318.6803239
